frame,head_x,head_y,head_z,torso_x,torso_y,torso_z,waist_x,waist_y,waist_z,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_elbow_x,l_elbow_y,l_elbow_z,l_wrist_x,l_wrist_y,l_wrist_z,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_elbow_x,r_elbow_y,r_elbow_z,r_wrist_x,r_wrist_y,r_wrist_z,l_hip_x,l_hip_y,l_hip_z,l_knee_x,l_knee_y,l_knee_z,l_ankle_x,l_ankle_y,l_ankle_z,r_hip_x,r_hip_y,r_hip_z,r_knee_x,r_knee_y,r_knee_z,r_ankle_x,r_ankle_y,r_ankle_z,left_knee_valgus_deg,right_knee_valgus_deg,back_arch_deg,torso_lean_deg
0,-65.6375,532.7150,2208.4441,-5.3624,-77.4493,2533.3096,-8.7543,-288.4648,2580.4199,149.8220,211.3195,2459.0381,257.2279,417.2542,2333.7668,165.9991,641.8902,2411.6260,-156.4387,215.1594,2495.3071,-234.4906,429.8724,2339.2200,-156.1146,675.6812,2328.6033,89.5126,-390.2621,2704.7422,128.8576,-809.7591,2609.1003,186.3478,-1214.3944,2580.8628,-119.9237,-411.9106,2622.4272,-159.3191,-832.5814,2613.5564,-209.6432,-1220.9755,2664.2622,1.33,0.97,23.86,-24.37
1,-64.7491,524.3527,2210.5530,-5.9312,-84.0004,2538.9292,-9.8050,-295.4440,2582.2197,149.7697,201.0842,2453.3442,263.3018,406.2440,2332.6995,167.7352,632.6896,2398.6978,-157.8858,206.2356,2489.3960,-235.9159,420.5459,2332.8628,-154.1959,665.0210,2318.2983,94.7749,-394.8446,2702.8936,131.0443,-813.1831,2601.9436,188.1620,-1218.4899,2597.5417,-122.2122,-416.3109,2627.4700,-160.1070,-836.1601,2600.5547,-209.9431,-1223.2375,2660.1719,1.50,1.04,25.42,-24.39
2,-63.7915,515.1020,2212.7041,-6.4040,-91.1962,2545.1462,-11.0575,-303.1339,2584.4187,149.6558,189.5535,2447.3450,269.2819,393.8574,2331.5803,169.7999,621.8948,2384.5630,-159.2389,195.8860,2482.6328,-237.3430,410.0005,2326.0422,-152.2321,652.9733,2307.0925,100.2065,-400.3646,2700.4744,133.4775,-817.4586,2594.0171,190.0018,-1222.1428,2615.0435,-124.3737,-421.7550,2632.7607,-160.9365,-839.8900,2585.9893,-210.2077,-1225.1848,2656.0913,1.67,1.09,26.80,-24.43
3,-62.7152,504.4637,2214.9160,-6.7963,-99.4549,2552.0322,-12.5054,-311.9207,2587.1562,149.5316,176.1462,2441.1428,275.0609,379.3956,2330.1082,172.3172,608.7604,2368.8459,-160.4684,183.3960,2474.6846,-238.8063,397.6114,2318.5540,-150.2313,638.8721,2294.6638,105.8229,-407.2741,2697.3735,136.3201,-822.9725,2585.0818,191.8648,-1225.4098,2633.1899,-126.3746,-428.7652,2638.2246,-161.9089,-843.9277,2569.4448,-210.3966,-1226.7646,2652.0762,1.80,1.11,27.85,-24.51
4,-61.5508,492.7235,2216.9805,-7.1209,-108.5911,2559.0896,-13.9516,-321.5802,2590.2112,149.5349,161.4001,2435.5881,280.0001,363.2914,2327.8931,175.1767,593.6252,2352.6587,-161.4383,169.0132,2465.9722,-240.2277,383.7036,2310.8909,-148.4150,623.1528,2281.8442,111.0776,-415.4940,2693.9043,139.5143,-829.6182,2575.5181,193.5901,-1228.2671,2649.8972,-128.0281,-437.2965,2643.2815,-163.0723,-848.1929,2552.0059,-210.4485,-1227.8254,2648.7144,1.86,1.07,28.48,-24.62
5,-60.3373,480.2932,2218.7000,-7.4364,-118.3744,2565.7905,-15.1416,-331.8480,2593.1816,149.8525,146.1124,2431.5620,283.6353,346.2071,2324.5872,178.1755,577.2374,2337.3479,-162.0977,153.3131,2457.1760,-241.5610,368.8074,2303.6858,-146.9763,606.5031,2269.6526,115.4584,-424.7751,2690.6533,142.9429,-836.9988,2565.6284,195.0567,-1230.9381,2663.1831,-129.2523,-446.9848,2647.4634,-164.4477,-852.6719,2535.0437,-210.3353,-1228.3540,2646.6919,1.82,0.96,28.79,-24.75
6,-59.0767,467.4303,2219.9885,-7.8242,-128.7225,2571.7515,-15.8595,-342.6411,2595.6663,150.6534,130.9000,2429.6184,285.8661,328.6237,2320.0576,181.1216,560.3079,2323.8689,-162.5111,136.8428,2448.9551,-242.8432,353.3462,2297.4160,-146.0078,589.4316,2258.8582,118.7084,-434.9175,2688.2312,146.5156,-844.6769,2555.4438,196.2291,-1233.7759,2672.0039,-130.1049,-457.3574,2650.6221,-166.0316,-857.4648,2519.6597,-210.0711,-1228.5167,2646.5757,1.65,0.78,29.10,-24.88
7,-57.7585,454.2970,2220.8428,-8.3002,-139.6640,2576.7095,-15.9700,-353.9826,2597.3225,152.0460,116.1617,2429.8931,286.8089,310.8367,2314.5039,183.8803,543.3517,2312.7175,-162.8338,120.0815,2441.8125,-244.1783,337.6156,2292.3533,-145.4910,572.2717,2249.9346,120.8050,-445.8148,2687.0847,150.1722,-852.2921,2544.9172,197.1311,-1237.0420,2676.2200,-130.7298,-467.9385,2652.8628,-167.7867,-862.6879,2506.6445,-209.8169,-1228.5620,2648.4382,1.37,0.57,29.73,-24.98
8,-56.3556,440.9977,2221.3186,-8.8231,-151.2828,2580.4255,-15.4074,-365.9615,2597.9492,154.0342,102.0600,2432.1545,286.6873,293.0004,2308.3950,186.3793,526.6101,2303.9634,-163.2418,103.3835,2436.0178,-245.7130,321.7970,2288.5061,-145.3483,555.1759,2243.0850,121.8675,-457.4150,2687.3826,153.8736,-859.6223,2534.1045,197.8174,-1240.8300,2676.3987,-131.2890,-478.3403,2654.4182,-169.6523,-868.4641,2496.4937,-209.6745,-1228.7690,2652.4490,0.98,0.35,30.93,-25.02
9,-54.8476,427.6436,2221.4941,-9.3425,-163.7298,2582.5588,-14.1718,-378.6721,2597.5745,156.5160,88.5545,2435.9067,285.7647,275.1588,2302.3123,188.5797,510.0717,2297.3813,-163.8997,86.9729,2431.5503,-247.5995,305.9298,2285.6160,-145.4761,538.1542,2238.2437,122.1046,-469.6689,2689.0085,157.5854,-866.6012,2523.2573,198.3606,-1245.1025,2673.5840,-131.9209,-488.3151,2655.5383,-171.5578,-874.8893,2489.4075,-209.6852,-1229.4281,2658.5264,0.51,0.14,32.68,-25.01
10,-53.2286,414.2812,2221.4104,-9.8112,-177.1006,2582.9116,-12.3618,-392.2076,2596.2480,159.2896,75.4366,2440.5532,284.3258,257.2780,2296.7253,190.4412,493.5527,2292.5979,-164.9023,70.9142,2428.1763,-249.9742,289.9231,2283.2043,-145.8124,521.0815,2235.1394,121.7354,-482.4554,2691.5889,161.2676,-873.3163,2512.7944,198.8364,-1249.7798,2669.0618,-132.7032,-497.7590,2656.3914,-173.4340,-882.0168,2485.2937,-209.8693,-1230.7919,2666.3665,-0.04,-0.04,34.91,-24.93
11,-51.5251,400.9077,2221.0637,-10.2140,-191.4415,2581.4197,-10.1747,-406.6122,2594.0449,162.1108,62.4117,2445.4939,282.6253,239.2455,2291.8567,191.8964,476.7877,2289.2070,-166.2849,55.1528,2425.5376,-252.9367,273.5631,2280.7097,-146.3597,503.7403,2233.3354,120.9900,-495.5747,2694.5869,164.8679,-879.9893,2503.1968,199.3154,-1254.8225,2664.1389,-133.6589,-506.7068,2657.0115,-175.2293,-889.8682,2483.7949,-210.2300,-1233.0542,2675.5188,-0.62,-0.17,37.50,-24.79
12,-49.7750,387.4554,2220.4294,-10.5725,-206.7327,2578.1443,-7.8723,-421.8754,2591.0635,164.7336,49.1567,2450.1802,280.8642,220.8943,2287.6082,192.8572,459.4883,2286.8181,-168.0326,39.5422,2423.3015,-256.5580,256.5722,2277.6250,-147.2120,485.8372,2232.3335,120.0996,-508.7786,2697.4153,168.3332,-886.9462,2494.8691,199.8457,-1260.2571,2659.9724,-134.7730,-515.3157,2657.3113,-176.9139,-898.4486,2484.3352,-210.7442,-1236.3306,2685.4470,-1.20,-0.26,40.31,-24.61
13,-48.0414,373.8119,2219.4792,-10.9013,-222.9156,2573.3057,-5.7344,-437.9391,2587.3916,166.9613,35.3841,2454.1067,279.1474,202.0153,2283.6299,193.2285,441.3782,2285.0356,-170.1212,23.8996,2421.2551,-260.8792,238.6418,2273.6538,-148.5278,467.0479,2231.6377,119.2809,-521.8538,2699.5544,171.6109,-894.5454,2488.0354,200.4494,-1266.1421,2657.4751,-136.0106,-523.8442,2657.1277,-178.4864,-907.7621,2486.1799,-211.3730,-1240.6437,2695.5815,-1.76,-0.31,43.22,-24.38
14,-46.3842,359.8203,2218.2112,-11.1900,-239.9028,2567.2410,-3.9799,-454.7433,2583.0825,168.6606,20.8683,2456.8379,277.4991,182.3952,2279.4141,192.9349,422.2158,2283.4067,-172.5295,8.0252,2419.3821,-265.9201,219.4850,2268.7605,-150.5028,447.0508,2230.8320,118.6776,-534.6795,2700.6262,174.6629,-903.1113,2482.6934,201.1134,-1272.5007,2657.2681,-137.3217,-532.6225,2656.2952,-179.9663,-917.8204,2488.5054,-212.0635,-1245.9259,2705.3882,-2.25,-0.33,46.18,-24.13
15,-44.8672,345.3347,2216.6565,-11.3929,-257.6245,2560.3474,-2.7337,-472.2562,2578.1213,169.7839,5.4832,2458.0427,275.8710,161.8387,2274.4402,191.9386,401.8139,2281.3933,-175.2587,-8.2551,2417.8364,-271.6641,198.8574,2263.1638,-153.3102,425.5820,2229.5940,118.3319,-547.2708,2700.4431,177.4573,-912.8646,2478.6672,201.8034,-1279.2715,2659.6890,-138.6286,-542.0117,2654.6863,-181.3935,-928.6540,2490.4822,-212.7554,-1252.0148,2714.4333,-2.66,-0.35,49.22,-23.85
16,-43.5310,330.2702,2214.9102,-11.4590,-276.0446,2552.8826,-1.9924,-490.4717,2572.5330,170.3504,-10.8018,2457.5605,274.1934,140.2052,2268.2976,190.2592,380.0661,2278.3882,-178.3176,-25.0797,2416.8630,-278.0546,176.5992,2257.2297,-157.0541,402.4781,2227.7126,118.1569,-559.7578,2699.0059,179.9836,-923.9031,2475.6821,202.4684,-1286.2957,2664.8071,-139.8337,-552.3655,2652.2500,-182.8147,-940.2996,2491.3579,-213.3940,-1258.6549,2722.4370,-3.00,-0.37,52.30,-23.54
17,-42.4017,314.6362,2213.0964,-11.3587,-295.1208,2545.0278,-1.6717,-509.3577,2566.3542,170.4356,-27.9158,2455.4321,272.4050,117.4366,2260.8137,187.9770,356.9831,2273.8276,-181.7131,-42.5266,2416.6743,-284.9637,152.6656,2251.3560,-161.7275,377.7238,2225.0515,117.9718,-572.3456,2696.4829,182.2423,-936.1923,2473.4631,203.0633,-1293.3417,2672.4556,-140.8145,-563.9703,2649.0122,-184.2814,-952.7847,2490.5325,-213.9408,-1265.5034,2729.2681,-3.26,-0.43,55.39,-23.21
18,-41.4787,298.5270,2211.3445,-11.1177,-314.7258,2536.9568,-1.6316,-528.8107,2559.6643,170.1316,-45.7047,2451.9226,270.5033,93.6072,2252.1216,185.2361,332.7304,2267.3076,-185.4209,-60.6056,2417.3611,-292.1946,127.1805,2245.8625,-167.2006,351.4845,2221.5420,117.5294,-585.2296,2693.1438,184.2586,-949.5870,2471.7681,203.5480,-1300.1342,2682.2715,-141.4503,-577.0035,2645.0862,-185.8365,-966.0884,2487.6409,-214.3841,-1272.1635,2734.9326,-3.49,-0.52,58.40,-22.83
19,-40.7501,282.1337,2209.7549,-10.8288,-334.6292,2528.8586,-1.7489,-548.6045,2552.6147,169.5361,-63.9203,2447.4756,268.5560,68.9540,2242.6687,182.2289,307.6459,2258.6919,-189.3903,-79.2173,2418.8386,-299.4716,100.4718,2240.9231,-173.2287,324.1290,2217.1729,116.6175,-598.5494,2689.3252,186.0664,-963.8411,2470.3970,203.9026,-1306.3942,2693.7407,-141.6516,-591.4860,2640.6748,-187.5173,-980.1214,2482.6184,-214.7405,-1278.2295,2739.5481,-3.71,-0.65,61.23,-22.43
20,-40.1925,265.7263,2208.3882,-10.6316,-354.4982,2520.9084,-1.9449,-568.3961,2545.4729,168.7239,-82.2364,2442.6450,266.7020,43.8953,2233.1101,179.1769,282.2168,2248.1125,-193.5480,-98.1344,2420.8640,-306.4863,73.0815,2236.5388,-179.4867,296.2195,2211.9934,115.1149,-612.3274,2685.3491,187.7174,-978.6329,2469.1807,204.1122,-1311.8739,2706.2310,-141.3977,-607.2659,2636.0876,-189.3465,-994.6976,2475.7507,-215.0541,-1283.3689,2743.3242,-3.93,-0.83,63.69,-22.00
21,-39.7845,249.6266,2207.2312,-10.6856,-373.9295,2513.2734,-2.2355,-587.7549,2538.5581,167.7471,-100.2613,2437.9727,265.1014,18.9994,2224.1636,176.2993,257.0214,2235.9304,-197.8101,-117.0022,2423.0842,-312.9363,45.7272,2232.5535,-185.6225,268.4640,2206.1094,113.0569,-626.4568,2681.4666,189.2626,-993.5832,2467.9536,204.1805,-1316.4114,2719.0244,-140.7333,-623.9922,2631.7188,-191.3371,-1009.5264,2467.6580,-215.3880,-1287.3970,2746.5120,-4.17,-1.05,65.64,-21.59
22,-39.5039,234.1642,2206.1926,-11.1225,-392.4865,2506.0935,-2.7151,-606.2219,2532.1941,166.6253,-117.5805,2433.9026,263.8944,-5.0632,2216.4404,173.7857,232.6555,2222.6721,-202.0986,-135.3662,2425.1082,-318.5841,19.2158,2228.7227,-191.3073,241.6512,2199.6721,110.6114,-640.6970,2677.7925,190.7550,-1008.2936,2466.5359,204.1147,-1319.9563,2731.3540,-139.7577,-641.1304,2628.0088,-193.4839,-1024.2017,2459.1936,-215.8154,-1290.3573,2749.3401,-4.42,-1.29,67.00,-21.20
