head_x,head_y,head_z,torso_x,torso_y,torso_z,waist_x,waist_y,waist_z,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_elbow_x,l_elbow_y,l_elbow_z,l_wrist_x,l_wrist_y,l_wrist_z,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_elbow_x,r_elbow_y,r_elbow_z,r_wrist_x,r_wrist_y,r_wrist_z,l_hip_x,l_hip_y,l_hip_z,l_knee_x,l_knee_y,l_knee_z,l_ankle_x,l_ankle_y,l_ankle_z,r_hip_x,r_hip_y,r_hip_z,r_knee_x,r_knee_y,r_knee_z,r_ankle_x,r_ankle_y,r_ankle_z
-4.564870834350585938e+01,4.506382446289062500e+02,2.244834228515625000e+03,-3.130706787109375000e+01,2.848573493957519531e+01,2.489598876953125000e+03,-3.247676467895507812e+01,-1.825463562011718750e+02,2.476098388671875000e+03,1.337117767333984375e+02,2.814218750000000000e+02,2.426423828125000000e+03,2.039592132568359375e+02,4.572160034179687500e+02,2.225145751953125000e+03,2.000089721679687500e+02,6.948011474609375000e+02,2.116838867187500000e+03,-2.158926086425781250e+02,2.653133544921875000e+02,2.413135009765625000e+03,-2.720647277832031250e+02,4.412773742675781250e+02,2.204794189453125000e+03,-2.431310424804687500e+02,6.858190307617187500e+02,2.111221435546875000e+03,8.405094146728515625e+01,-2.740742492675781250e+02,2.547069091796875000e+03,1.566876678466796875e+02,-6.914490966796875000e+02,2.447027099609375000e+03,2.423683319091796875e+02,-1.025489501953125000e+03,2.416877685546875000e+03,-1.312878265380859375e+02,-3.082818908691406250e+02,2.498636718750000000e+03,-1.833210449218750000e+02,-7.140554809570312500e+02,2.352010253906250000e+03,-2.145964508056640625e+02,-1.034669311523437500e+03,2.451089355468750000e+03
-4.682352066040039062e+01,4.439506530761718750e+02,2.243181152343750000e+03,-3.289103317260742188e+01,2.242255592346191406e+01,2.488991699218750000e+03,-3.218312072753906250e+01,-1.886764221191406250e+02,2.479294677734375000e+03,1.326773834228515625e+02,2.736748352050781250e+02,2.421135986328125000e+03,2.077640533447265625e+02,4.451994934082031250e+02,2.217896484375000000e+03,1.999338073730468750e+02,6.848373413085937500e+02,2.114427490234375000e+03,-2.157426605224609375e+02,2.587405395507812500e+02,2.407132812500000000e+03,-2.733951110839843750e+02,4.339664001464843750e+02,2.198710205078125000e+03,-2.438004608154296875e+02,6.793920898437500000e+02,2.107574462890625000e+03,8.438835906982421875e+01,-2.801406555175781250e+02,2.550058105468750000e+03,1.591324157714843750e+02,-6.931940917968750000e+02,2.435614990234375000e+03,2.425422515869140625e+02,-1.028523925781250000e+03,2.418193359375000000e+03,-1.317507934570312500e+02,-3.128988037109375000e+02,2.506102050781250000e+03,-1.852570037841796875e+02,-7.149949340820312500e+02,2.350147949218750000e+03,-2.144716491699218750e+02,-1.034398437500000000e+03,2.453681152343750000e+03
-4.819228363037109375e+01,4.362416992187500000e+02,2.241231445312500000e+03,-3.449420166015625000e+01,1.539214801788330078e+01,2.488187011718750000e+03,-3.180632972717285156e+01,-1.957336578369140625e+02,2.482874023437500000e+03,1.313394622802734375e+02,2.649382019042968750e+02,2.415238525390625000e+03,2.117502441406250000e+02,4.318709716796875000e+02,2.210241210937500000e+03,1.998441619873046875e+02,6.733327026367187500e+02,2.111608886718750000e+03,-2.154434356689453125e+02,2.511049652099609375e+02,2.400728027343750000e+03,-2.748686218261718750e+02,4.255096435546875000e+02,2.192202148437500000e+03,-2.446855773925781250e+02,6.718881225585937500e+02,2.103880371093750000e+03,8.470985412597656250e+01,-2.873878784179687500e+02,2.553374267578125000e+03,1.616961822509765625e+02,-6.952135009765625000e+02,2.423199462890625000e+03,2.427269287109375000e+02,-1.031426025390625000e+03,2.419996093750000000e+03,-1.320990600585937500e+02,-3.182632141113281250e+02,2.514276123046875000e+03,-1.874698181152343750e+02,-7.159719848632812500e+02,2.348110351562500000e+03,-2.143148193359375000e+02,-1.033932006835937500e+03,2.456534912109375000e+03
-4.983594131469726562e+01,4.269573364257812500e+02,2.238993164062500000e+03,-3.612925720214843750e+01,6.840671539306640625e+00,2.487223632812500000e+03,-3.134661865234375000e+01,-2.042747650146484375e+02,2.486790283203125000e+03,1.295398712158203125e+02,2.546203308105468750e+02,2.408398681640625000e+03,2.160618133544921875e+02,4.164562072753906250e+02,2.201938964843750000e+03,1.997435760498046875e+02,6.595083007812500000e+02,2.108093994140625000e+03,-2.149434356689453125e+02,2.418312225341796875e+02,2.393779785156250000e+03,-2.765394592285156250e+02,4.152863159179687500e+02,2.185113769531250000e+03,-2.459135131835937500e+02,6.627071533203125000e+02,2.100062744140625000e+03,8.502951049804687500e+01,-2.962819213867187500e+02,2.557081054687500000e+03,1.644673156738281250e+02,-6.976099853515625000e+02,2.409385009765625000e+03,2.428987426757812500e+02,-1.034126098632812500e+03,2.422433593750000000e+03,-1.322971649169921875e+02,-3.247686157226562500e+02,2.523460937500000000e+03,-1.900829467773437500e+02,-7.170653076171875000e+02,2.345709716796875000e+03,-2.141274261474609375e+02,-1.033237060546875000e+03,2.459694091796875000e+03
-5.168918228149414062e+01,4.162331848144531250e+02,2.236625000000000000e+03,-3.764554595947265625e+01,-3.140223026275634766e+00,2.486148193359375000e+03,-3.084819030761718750e+01,-2.141757659912109375e+02,2.490707031250000000e+03,1.272834701538085938e+02,2.429473724365234375e+02,2.400912841796875000e+03,2.204682464599609375e+02,3.994586181640625000e+02,2.193410156250000000e+03,1.996506042480468750e+02,6.437185668945312500e+02,2.103810791015625000e+03,-2.142630615234375000e+02,2.310920104980468750e+02,2.386864501953125000e+03,-2.782946777343750000e+02,4.034546813964843750e+02,2.178009521484375000e+03,-2.475422515869140625e+02,6.519488525390625000e+02,2.096369384765625000e+03,8.538970184326171875e+01,-3.065103759765625000e+02,2.560878662109375000e+03,1.672600708007812500e+02,-7.002870483398437500e+02,2.395104003906250000e+03,2.430196990966796875e+02,-1.036299682617187500e+03,2.425345214843750000e+03,-1.323734741210937500e+02,-3.323221130371093750e+02,2.533067626953125000e+03,-1.929501037597656250e+02,-7.182952270507812500e+02,2.342898437500000000e+03,-2.139543151855468750e+02,-1.032440185546875000e+03,2.462816894531250000e+03
-5.362989807128906250e+01,4.043963012695312500e+02,2.234108642578125000e+03,-3.886666870117187500e+01,-1.417592334747314453e+01,2.484991455078125000e+03,-3.040336227416992188e+01,-2.250269927978515625e+02,2.494429931640625000e+03,1.247098312377929688e+02,2.304416198730468750e+02,2.393266601562500000e+03,2.246578369140625000e+02,3.816846618652343750e+02,2.185132812500000000e+03,1.996107940673828125e+02,6.266835327148437500e+02,2.098785156250000000e+03,-2.135008087158203125e+02,2.193563842773437500e+02,2.380683105468750000e+03,-2.799874572753906250e+02,3.904556274414062500e+02,2.171531738281250000e+03,-2.495727691650390625e+02,6.399673461914062500e+02,2.093052001953125000e+03,8.588311004638671875e+01,-3.174565734863281250e+02,2.564492675781250000e+03,1.698566894531250000e+02,-7.031302490234375000e+02,2.381417968750000000e+03,2.430896453857421875e+02,-1.037804687500000000e+03,2.428377441406250000e+03,-1.324184265136718750e+02,-3.406316223144531250e+02,2.542330566406250000e+03,-1.958927307128906250e+02,-7.197287597656250000e+02,2.339680419921875000e+03,-2.138492431640625000e+02,-1.031736816406250000e+03,2.465446777343750000e+03
-5.554159927368164062e+01,3.918132934570312500e+02,2.231398437500000000e+03,-3.966405487060546875e+01,-2.584601402282714844e+01,2.483769531250000000e+03,-3.005546760559082031e+01,-2.364124908447265625e+02,2.497841308593750000e+03,1.220300750732421875e+02,2.176283721923828125e+02,2.385916992187500000e+03,2.283729705810546875e+02,3.638153381347656250e+02,2.177420410156250000e+03,1.996727142333984375e+02,6.090891723632812500e+02,2.093068115234375000e+03,-2.127825469970703125e+02,2.071337127685546875e+02,2.375769531250000000e+03,-2.815025634765625000e+02,3.767299499511718750e+02,2.166100585937500000e+03,-2.519568176269531250e+02,6.271365966796875000e+02,2.090259033203125000e+03,8.659307098388671875e+01,-3.285110168457031250e+02,2.567766113281250000e+03,1.721065368652343750e+02,-7.060606079101562500e+02,2.368988525390625000e+03,2.431489410400390625e+02,-1.038759887695312500e+03,2.431125976562500000e+03,-1.326047515869140625e+02,-3.494012145996093750e+02,2.550659179687500000e+03,-1.987538452148437500e+02,-7.214306640625000000e+02,2.336102539062500000e+03,-2.138614501953125000e+02,-1.031373291015625000e+03,2.467209472656250000e+03
-5.732249069213867188e+01,3.788571166992187500e+02,2.228459716796875000e+03,-3.999034881591796875e+01,-3.771749877929687500e+01,2.482542480468750000e+03,-2.981973838806152344e+01,-2.479329223632812500e+02,2.500868408203125000e+03,1.194661788940429688e+02,2.049750518798828125e+02,2.379251953125000000e+03,2.314250488281250000e+02,3.464108886718750000e+02,2.170457275390625000e+03,1.998945922851562500e+02,5.915408325195312500e+02,2.086725341796875000e+03,-2.122182312011718750e+02,1.949114227294921875e+02,2.372433349609375000e+03,-2.827639465332031250e+02,3.626640625000000000e+02,2.161885498046875000e+03,-2.545968170166015625e+02,6.138204345703125000e+02,2.088068847656250000e+03,8.758847045898437500e+01,-3.391962890625000000e+02,2.570633789062500000e+03,1.739327545166015625e+02,-7.090296630859375000e+02,2.358110107421875000e+03,2.432516784667968750e+02,-1.039422973632812500e+03,2.433259033203125000e+03,-1.330802612304687500e+02,-3.583053588867187500e+02,2.557680664062500000e+03,-2.014497222900390625e+02,-7.234515380859375000e+02,2.332243164062500000e+03,-2.140130767822265625e+02,-1.031555908203125000e+03,2.467888671875000000e+03
-5.889115905761718750e+01,3.659003601074218750e+02,2.225333496093750000e+03,-3.988145828247070312e+01,-4.940318679809570312e+01,2.481391113281250000e+03,-2.965063858032226562e+01,-2.592353820800781250e+02,2.503495361328125000e+03,1.172081909179687500e+02,1.928509368896484375e+02,2.373553955078125000e+03,2.337101440429687500e+02,3.299124755859375000e+02,2.164338867187500000e+03,2.003305969238281250e+02,5.745313720703125000e+02,2.079835937500000000e+03,-2.118723297119140625e+02,1.831040649414062500e+02,2.370735595703125000e+03,-2.837373046875000000e+02,3.485622253417968750e+02,2.158829345703125000e+03,-2.573559875488281250e+02,6.003358764648437500e+02,2.086487060546875000e+03,8.887354278564453125e+01,-3.491760253906250000e+02,2.573051025390625000e+03,1.753224487304687500e+02,-7.120242919921875000e+02,2.348817382812500000e+03,2.434396209716796875e+02,-1.040076782226562500e+03,2.434596679687500000e+03,-1.339692382812500000e+02,-3.670381164550781250e+02,2.563221679687500000e+03,-2.039351959228515625e+02,-7.257932739257812500e+02,2.328208496093750000e+03,-2.142726745605468750e+02,-1.032353759765625000e+03,2.467499023437500000e+03
-6.019821166992187500e+01,3.533187255859375000e+02,2.222192382812500000e+03,-3.944021987915039062e+01,-6.061017227172851562e+01,2.480342285156250000e+03,-2.949592971801757812e+01,-2.700611267089843750e+02,2.505739013671875000e+03,1.153852767944335938e+02,1.815007781982421875e+02,2.368972412109375000e+03,2.352044677734375000e+02,3.146321716308593750e+02,2.159091064453125000e+03,2.010325927734375000e+02,5.584130859375000000e+02,2.072495849609375000e+03,-2.117498779296875000e+02,1.720030822753906250e+02,2.370501464843750000e+03,-2.844289855957031250e+02,3.346412658691406250e+02,2.156705078125000000e+03,-2.600734558105468750e+02,5.869266357421875000e+02,2.085446289062500000e+03,9.043637084960937500e+01,-3.583190307617187500e+02,2.575002197265625000e+03,1.763120117187500000e+02,-7.150701293945312500e+02,2.340997070312500000e+03,2.437279357910156250e+02,-1.040955078125000000e+03,2.435156250000000000e+03,-1.353176422119140625e+02,-3.753359680175781250e+02,2.567249267578125000e+03,-2.062200469970703125e+02,-7.284415893554687500e+02,2.324106933593750000e+03,-2.145927734375000000e+02,-1.033778198242187500e+03,2.466171875000000000e+03
