head_x,head_y,head_z,torso_x,torso_y,torso_z,waist_x,waist_y,waist_z,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_elbow_x,l_elbow_y,l_elbow_z,l_wrist_x,l_wrist_y,l_wrist_z,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_elbow_x,r_elbow_y,r_elbow_z,r_wrist_x,r_wrist_y,r_wrist_z,l_hip_x,l_hip_y,l_hip_z,l_knee_x,l_knee_y,l_knee_z,l_ankle_x,l_ankle_y,l_ankle_z,r_hip_x,r_hip_y,r_hip_z,r_knee_x,r_knee_y,r_knee_z,r_ankle_x,r_ankle_y,r_ankle_z
-4.145629999999999882e+01,4.454773999999999887e+02,2.267434999999999945e+03,-3.322811813215317756e+01,2.432660022157681823e+01,2.522660757708745223e+03,-2.660055603896458010e+01,-1.715840757022203888e+02,2.435818064368865180e+03,1.438818614640449027e+02,3.011640861150448245e+02,2.309755568335615862e+03,2.189290898039537865e+02,4.982235264835547923e+02,2.198794663604560810e+03,2.000686841173038886e+02,7.260001035771261968e+02,2.106786738999048794e+03,-2.268501677537408909e+02,2.905231566574747148e+02,2.415229353304032884e+03,-2.460261286641774916e+02,4.870532398329106059e+02,2.269226355934039930e+03,-2.491311574053299864e+02,7.113754115788042327e+02,2.209628470450720215e+03,8.592988375122335754e+01,-2.753301560891404733e+02,2.517827177107887110e+03,1.501980834330429957e+02,-6.637996514549366793e+02,2.497896170890533995e+03,2.358775851914487021e+02,-1.002429831072145021e+03,2.409157806664999043e+03,-1.355910599683762996e+02,-2.855451297316486148e+02,2.489923864874623177e+03,-1.693991539613431883e+02,-6.659930233499791257e+02,2.516520256059352960e+03,-2.185491768183854049e+02,-1.062290221747558007e+03,2.440310003992514794e+03
-4.207623000000000246e+01,4.450894999999999868e+02,2.252512999999999920e+03,-3.423776351242013760e+01,2.568962950858952965e+01,2.519741501266611976e+03,-2.706099821055473953e+01,-1.776876090989345869e+02,2.497216838455458856e+03,1.452262261716074079e+02,2.911805073553653074e+02,2.306050046040928009e+03,2.204134183564991076e+02,4.818434349963661134e+02,2.149808119202255966e+03,2.040287401224956909e+02,7.367856353894729864e+02,2.182919210711158939e+03,-2.270050227313288076e+02,2.863483930144940928e+02,2.326265945523624850e+03,-2.527684299856423138e+02,4.933414258761155224e+02,2.269211924491768059e+03,-2.407201033829103949e+02,7.170158535282156436e+02,2.104982781528659871e+03,8.434399889802097050e+01,-2.899437249265142782e+02,2.515679336405312824e+03,1.472219568852748921e+02,-6.802790563656449194e+02,2.510124437630232023e+03,2.405026654587790915e+02,-1.051005114684870932e+03,2.353387778762350081e+03,-1.368150798923234106e+02,-2.870234275095319845e+02,2.451283190146938978e+03,-1.756054628580102133e+02,-6.868869371393872143e+02,2.340134834219306867e+03,-2.163396280099815954e+02,-1.009895636939146016e+03,2.387825484958027118e+03
-4.243200000000000216e+01,4.450471999999999753e+02,2.243458999999999833e+03,-3.499780189173314682e+01,2.758467049741213017e+01,2.435747834609759138e+03,-2.684600943135944107e+01,-1.678276440677707058e+02,2.464164581309231835e+03,1.434900248975930026e+02,3.001597190915657052e+02,2.383639945985074974e+03,2.129478328565004119e+02,4.453399190211794121e+02,2.114415088400602144e+03,1.981672483627120016e+02,6.997210807409859399e+02,2.098923891098622789e+03,-2.364836104400033037e+02,2.899188659008768809e+02,2.338444323325401001e+03,-2.570479891317810939e+02,4.734975482058695775e+02,2.132445263640167013e+03,-2.394582203079432929e+02,7.010997755929801087e+02,2.068198327926188085e+03,8.518820384443149862e+01,-3.177062525304302767e+02,2.520297733138873809e+03,1.524091201514835063e+02,-6.881637627147993044e+02,2.463845608773177901e+03,2.448138958550042048e+02,-1.054444167543910908e+03,2.377827070294796158e+03,-1.393547316647238858e+02,-3.008712004431189939e+02,2.527186184428227989e+03,-1.762554054752085904e+02,-7.168086529177141983e+02,2.332823833907099015e+03,-2.184850486063922119e+02,-1.030535498407291925e+03,2.510304575900458076e+03
-4.725692000000000093e+01,4.378365000000000009e+02,2.234552000000000135e+03,-3.511908982020933934e+01,2.317934401486692053e+01,2.471721977848728784e+03,-2.794705467116524034e+01,-1.721511964617808985e+02,2.538204904069685199e+03,1.286862120581747888e+02,2.636647774807788096e+02,2.466714453088134178e+03,2.199212009054064936e+02,4.141091304709856900e+02,2.178712007843133961e+03,2.028831617482123875e+02,6.384637010554633889e+02,2.152511251999741035e+03,-2.121428874820877866e+02,2.523310371888080113e+02,2.430584151643326095e+03,-2.675356259901818134e+02,4.185695251108879802e+02,2.237812593245272183e+03,-2.430235103742031981e+02,6.945826177292951797e+02,2.085853162195743153e+03,8.170110240464718743e+01,-3.309433261243323159e+02,2.572549992101390217e+03,1.687679213969771013e+02,-6.950396736883387803e+02,2.310935955397069847e+03,2.306571306052688897e+02,-1.021576364530876958e+03,2.415800109523806896e+03,-1.326027442090168051e+02,-3.303521303120115817e+02,2.502111116407570080e+03,-1.976521016449000001e+02,-7.392973524546709996e+02,2.413117618190578924e+03,-2.149042854209249072e+02,-1.072694313224199050e+03,2.432961004151939051e+03
-5.149582999999999799e+01,4.291428000000000225e+02,2.231757999999999811e+03,-3.495537238095131727e+01,1.494621820275568069e+01,2.429967533457453101e+03,-2.770284249981336089e+01,-1.886023996918520140e+02,2.491341316815883147e+03,1.276359173608420008e+02,2.555068008155149926e+02,2.436176403312998900e+03,2.257936738171526940e+02,4.154502980858326282e+02,2.239375750149470150e+03,2.025139394354544891e+02,6.298344150779677193e+02,2.120154329500866879e+03,-2.171801157290404944e+02,2.460907503161255079e+02,2.340896257298640194e+03,-2.810527487150656043e+02,3.981371687391430214e+02,2.132608723087054841e+03,-2.428973771165927076e+02,6.330246663085621321e+02,2.052043809211098960e+03,8.778019030430773739e+01,-3.321148604803149738e+02,2.571034103261094970e+03,1.799370275280878957e+02,-7.315793873061086288e+02,2.441951595105999786e+03,2.461266907008185001e+02,-9.955525815822952609e+02,2.412938798943690017e+03,-1.379418059393356089e+02,-3.266226747489200761e+02,2.498981470527663987e+03,-2.047802136852797048e+02,-7.234478088914256659e+02,2.323741839581340173e+03,-2.116599186339036862e+02,-1.013220437431289042e+03,2.402348420723605159e+03
-5.634333999999999776e+01,4.069778000000000020e+02,2.233045000000000073e+03,-3.687535599892788696e+01,-3.939883722476897887e+00,2.394667368128415092e+03,-2.821701409688752094e+01,-1.986260892916209002e+02,2.522042251411719917e+03,1.164994810165464969e+02,2.159647751701243976e+02,2.299898176821804100e+03,2.188612442060073136e+02,3.690253805136849223e+02,2.144070402911965175e+03,1.951294602459817895e+02,6.149233222003583705e+02,2.044624713100386089e+03,-2.048962939460419932e+02,2.194940249917889048e+02,2.402359265499389039e+03,-2.787591678241153090e+02,4.046909011596404753e+02,2.154090631991673945e+03,-2.486477295199059085e+02,6.433227576045284195e+02,2.193113873817669173e+03,8.851556545052953595e+01,-3.298576148680543270e+02,2.582908523006373798e+03,1.880126987901520863e+02,-7.527179409848228033e+02,2.318558942724816006e+03,2.377099410737720007e+02,-9.985111351495568215e+02,2.412948909272658966e+03,-1.301346086435711129e+02,-3.449356408062649848e+02,2.634945582102537173e+03,-1.996804737472099873e+02,-7.105437856852159939e+02,2.348063609199467919e+03,-2.131360440056797074e+02,-1.023385432515701950e+03,2.524373728851424858e+03
-5.763114000000000203e+01,3.943360999999999876e+02,2.233523000000000138e+03,-3.620918519384908763e+01,-1.454825283139122938e+01,2.537949292623469773e+03,-2.682778763482983919e+01,-2.213709951320550999e+02,2.541540219773686204e+03,1.196928863444738056e+02,2.046673374000422996e+02,2.350618327656441124e+03,2.133954126385640961e+02,3.762262705564453995e+02,2.250659247015757046e+03,2.003065248071872020e+02,5.870846218149804372e+02,2.125821465209145117e+03,-2.076282780166744999e+02,2.033638296762482867e+02,2.386224911161290947e+03,-2.798421188038623768e+02,3.909147799247759281e+02,2.115807270750774933e+03,-2.502306024909188977e+02,6.037547010709861297e+02,2.111778976157379020e+03,9.122807534433813714e+01,-3.287336592661209806e+02,2.521076389379360990e+03,1.771081087955338091e+02,-7.058906895006566629e+02,2.420106391995621834e+03,2.287628833371921928e+02,-9.917036170737786733e+02,2.457363749129046028e+03,-1.349184426853703940e+02,-3.435807149592488940e+02,2.544490387025799009e+03,-1.946654617068496123e+02,-7.299091580716038834e+02,2.387376400818654020e+03,-2.033962608517967112e+02,-9.876484235309425230e+02,2.432956724763766033e+03
-5.872178999999999860e+01,3.823317999999999870e+02,2.231695999999999913e+03,-3.609024204821314186e+01,-2.551107404532577050e+01,2.542484554907240181e+03,-2.837254427829569892e+01,-2.283689203227364999e+02,2.533916325223327021e+03,1.122461079003109035e+02,1.924941450569100141e+02,2.315257090836309999e+03,2.205207325468672082e+02,3.637594948574849809e+02,2.244918652934974034e+03,2.073627778293468964e+02,5.664671614051547976e+02,2.067210210904800988e+03,-2.085540494228480952e+02,1.936623800243206119e+02,2.291818392287549159e+03,-2.854682201845236023e+02,3.578600435769736805e+02,2.128378732478315214e+03,-2.484078296066471125e+02,5.866296448545663225e+02,2.031176009010463986e+03,9.202679568471634752e+01,-3.305517709533061179e+02,2.534157423921049030e+03,1.816604515134723101e+02,-7.245955809679187496e+02,2.325685565652296191e+03,2.374585324034788130e+02,-1.021384843007144013e+03,2.509638504560703041e+03,-1.378835843308785059e+02,-3.643621174958673237e+02,2.582566727829184856e+03,-2.095179256468042865e+02,-7.376780665311039229e+02,2.296290242649653919e+03,-2.057401092991152893e+02,-9.926453252549193849e+02,2.508167301565144953e+03
-6.136272000000000304e+01,3.588765999999999963e+02,2.220233000000000175e+03,-3.772305102263074161e+01,-4.840442975782590906e+01,2.518769534292387107e+03,-2.788340801251237977e+01,-2.497031912699546012e+02,2.421816659706178143e+03,1.129459414097223942e+02,1.803617757456007098e+02,2.441945340759772080e+03,2.228179276917499863e+02,3.287332052776940827e+02,2.131098818463082807e+03,2.020778160624566908e+02,5.406473923849296170e+02,2.086924634207404779e+03,-2.035114388620013131e+02,1.670660288024550084e+02,2.313224235435104220e+03,-2.855132074779206732e+02,3.240011057296455874e+02,2.176008667230000810e+03,-2.564015303726641264e+02,5.764921550469900922e+02,2.052308285467578116e+03,8.760949660764974567e+01,-3.576002503573262743e+02,2.609063754799317849e+03,1.818883084815018094e+02,-7.591304780955583738e+02,2.422374811626742030e+03,2.351826770202495140e+02,-1.059677385183141951e+03,2.356577465283251968e+03,-1.297997475723080072e+02,-3.760510501388741886e+02,2.643606434792944128e+03,-2.062646948217999068e+02,-7.563535359524078103e+02,2.362977461151077932e+03,-2.195582423845966105e+02,-1.030904916045174105e+03,2.514651471319888969e+03
-6.260898999999999859e+01,3.372517000000000280e+02,2.212543000000000120e+03,-3.718206003993439879e+01,-6.650446718093164122e+01,2.380327647576280015e+03,-2.699841122164012930e+01,-2.725851889005579096e+02,2.498002228680139069e+03,1.118275317279486956e+02,1.513939457365405872e+02,2.308512823775045945e+03,2.237444258738009069e+02,2.887557404675063140e+02,2.135455369387706014e+03,2.046327819626191911e+02,5.107987075092008808e+02,2.125767155675264803e+03,-2.010534022771379909e+02,1.478055788940284003e+02,2.432270961085107047e+03,-2.785281951837071119e+02,3.256511297895019084e+02,2.214223307669923997e+03,-2.614190155249772261e+02,5.673344010299057345e+02,2.072634301919445079e+03,9.125119289971556213e+01,-3.901277456987323831e+02,2.616259099403723212e+03,1.761968524463406141e+02,-7.283091640021618787e+02,2.292102343413973813e+03,2.362883518672157948e+02,-9.976903302823941431e+02,2.461201689079935022e+03,-1.383721291451570892e+02,-3.847568623669631052e+02,2.468860234041505009e+03,-2.096867104345928112e+02,-7.737495620889803831e+02,2.270922936337839928e+03,-2.176370632473469868e+02,-1.022086499395766964e+03,2.533386609305712227e+03
